CURRENT_PUBLISHER,PUBLISHER,SOURCE,IGNORE
Journal of Cataract and Refractive Surgery,Elsevier,Journal of Cataract & Refractive Surgery,
Journal of Child and Adolescent Mental Health,Taylor and Francis Group,Journal of Child and Adolescent Mental Health,
"Journal of child psychology and psychiatry, and allied disciplines",Wiley-Blackwell,"Journal of child psychology and psychiatry, and allied disciplines",
Journal of chiropractic medicine,Elsevier,Journal of chiropractic medicine,
Journal of Clinical Child & Adolescent Psychology,Lawrence Erlbaum Associates,Journal of Clinical Child and Adolescent Psychology,
Journal of clinical densitometry,Elsevier,Journal of Clinical Densitometry,
"Journal of Clinical Endocrinology and Metabolism, Endocrinology Society.",Endocrine Society,Journal of Clinical Endocrinology & Metabolism,
The Journal of clinical endocrinology & metabolism,Endocrine Society,Journal of Clinical Endocrinology & Metabolism,
Journal of Clinical Epidemiology,Elsevier,Journal of Clinical Epidemiology,
Journal of Clinical Excellence,Radcliffe Publishing,Journal of Clinical Excellence,
Journal of Clinical Nursing,Wiley-Blackwell,Journal of Clinical Nursing,
Journal of Clinical Oncology,American Society of Clinical Oncology,Journal of Clinical Oncology,
Journal of Clinical Outcomes Management,Turner White Communications,Journal of Clinical Outcomes Management,
Journal of Clinical Pathology,BMJ Group,Journal of Clinical Pathology,
Journal of Clinical Periodontology,Wiley-Blackwell,Journal of Clinical Periodontology,
Journal of clinical Pharmacology,Sage Publications,Journal of clinical Pharmacology,
Journal of Clinical Psychiatry,Physicians Postgraduate Press,Journal of Clinical Psychiatry,
The Journal of Clinical Psychiatry,Physicians Postgraduate Press,Journal of Clinical Psychiatry,
Journal of Contemporary Dental Practice,Seer Publishing,Journal of Contemporary Dental Practice,
Journal of Correctional Healthcare,Sage Publications,Journal of Correctional Health Care,
Journal of Craniofacial Surgery,Lippincott Williams and Wilkins,Journal of Craniofacial Surgery,
Journal of Dental Research,International and American Association of Dental Research,Journal of Dental Research,
Journal of Dentistry,Elsevier,Journal of Dentistry,
The Journal of Dermatological Treatment,Informa Healthcare,Journal of Dermatological Treatment,
Journal of Developmental and Physical Disabilities,Springer,Journal of Developmental and Physical Disabilities,
Journal of Diabetes and its Complications,Elsevier,Journal of Diabetes and its Complications,
Journal of Diabetes Nursing,SB Communications Group,Journal of Diabetes Nursing,
Journal of Endodontics,Elsevier,Journal of Endodontics,
Journal of Epidemiology,Japan Epidemiological Association,Journal of Epidemiology,
Journal of Epidemiology and Community Health,BMJ Group,Journal of Epidemiology & Community Health,
Journal of evaluation in clinical practice,Wiley-Blackwell,Journal of evaluation in clinical practice,
Journal of evidence based social work,Haworth Press Inc,Journal of Evidence-based Social Work,
Journal of Experimental Criminology,Springer,Journal of Experimental Criminology,
Journal of Family Planning and reproductive health care,BMJ Group,Journal of Family Planning and Reproductive Health Care,
The Journal of Family Practice,Dowden Health Media,Journal of Family Practice,
"Journal of Family Practice, Dowden Health Media",Dowden Health Media,Journal of Family Practice,
"Journal of Fluency Disorders, Elsevier",Elsevier,Journal of Fluency Disorders,
Journal of Foot and Ankle Research,BioMed Central,Journal of Foot and Ankle Research,
Journal of forensic nursing,Wiley-Blackwell,Journal of Forensic Nursing,
Journal of forensic sciences,Wiley-Blackwell,Journal of Forensic Sciences,
Journal of Gastroenterolgy and Hepatology,Wiley-Blackwell,Journal of Gastroenterolgy and Hepatology,
Journal of General Internal Medicine,Wiley-Blackwell,Journal of General Internal Medicine,
Journal of Genetic Counseling,Springer,Journal of Genetic Counseling,
Journal of Geriatric Physical Therapy,Lippincott Williams and Wilkins,Journal of Geriatric Physical Therapy,
Journal of Glaucoma,Lippincott Williams and Wilkins,Journal of Glaucoma,
Journal of Health Care Finance,Aspen Publishers,Journal of Health Care Finance,
Journal of Health Communication,Taylor and Francis Group,Journal of Health Communication,
Journal of Health Organization and Management,Emerald Insight,Journal of Health Organization and Management,
Journal of health psychology,Sage Publications,Journal of health psychology,
Journal of Health Services Research & Policy,Royal Society of Medicine Press,Journal of Health Services Research and Policy,
Journal of Healthcare Management,American College of Healthcare Executives,Journal of Healthcare Management,
Journal of Hospital Infection,Elsevier,Journal of Hospital Infection,
Journal of Human Genetics,Springer,Journal of Human Genetics,
Journal of Human Hypertension,Nature Publishing Group,Journal of Human Hypertension,
Journal of human nutrition and dietetics: the official journal of the British Dietetic Association,Wiley-Blackwell,Journal of Human Nutrition and Dietetics: the official journal of the British Dietetic Association,
Journal of Hypertension,Lippincott Williams and Wilkins,Journal of Hypertension,
Journal of Immigrant and Minority Health,Springer,Journal of Immigrant and Minority Health,
Journal of Infection,Elsevier,Journal of Infection,
Journal of Infectious Diseases,University of Chicago Press,Journal of Infectious Diseases,
Journal of Information Systems and Technology Management,Research Laboratory on Information Systems and Technology Management,Journal of Information Systems and Technology Management,
Journal of Infusion Nursing,Lippincott Williams and Wilkins,Journal of Infusion Nursing,
Journal of Integrated Care,Pier Professional,Journal of Integrated Care,
Journal of Intellectual and Developmental Disability,Informa Healthcare,Journal of Intellectual and Developmental Disability,
Journal of Intellectual Disabilities,Sage Publications,Journal of Intellectual Disabilities,
Journal of Intellectual Disability Research,Wiley-Blackwell,Journal of Intellectual Disability Research,
Journal of Knowledge Management,Emerald Insight,Journal of Knowledge Management,
Journal of Knowledge Management Practice,The Leadership Alliance Inc,Journal of Knowledge Management Practice,
Journal of Korean medical science,Korean Academy of Medical Sciences,Journal of Korean medical science,
"Journal of Laryngology and Otology, Cambridge University Press",Cambridge University Press,Journal of Laryngology and Otology,
Journal of Learning Disabilities,Sage Publications,Journal of Learning Disabilities,
Journal of managed care pharmacy,Academy of Managed Care Pharmacy,Journal of managed care pharmacy,
Journal of Manipulative and Physiological Therapeutics,Elsevier,Journal of Manipulative and Physiological Therapeutics,
Journal of Manual and Manipulative Therapy,Maney Publishing,Journal of Manual & Manipulative Therapy,
The Journal of Manual and Manipulative Therapy,Maney Publishing,Journal of Manual and Manipulative Therapy,
Journal of Medical Ethics,BMJ Group,Journal of Medical Ethics,
Journal of Medical Genetics,BMJ Group,Journal of Medical Genetics,
Journal of Medical Internet Research,Journal of Medical Internet Research,Journal of Medical Internet Research,
Journal of Medical Investigation: JMI,University of Tokushima,Journal of Medical Investigation,
Journal of Medical Screening,Royal Society of Medicine Press,Journal of Medical Screening,
Journal of Medical Speech Language Pathology,Singular Publishing Group,Journal of Medical Speech-Language Pathology,
Journal of Medical Virology,Wiley-Blackwell,Journal of Medical Virology,
Journal of Mental Health,Informa Healthcare,Journal of Mental Health,
Journal of Mental Health Research in Intellectual Disabilities,Taylor and Francis Group,Journal of Mental Health Research in Intellectual Disabilities,
Journal of midwifery womens health,Elsevier,Journal of midwifery and women's health,
Journal of Music Therapy,American Music Therapy Association,Journal of Music Therapy,
Journal of Nervous & Mental Disease,Lippincott Williams and Wilkins,Journal of Nervous and Mental Disease,
Journal of Neurology,Springer,Journal of Neurology,
"Journal of Neurology, Neurosurgery and Psychiatry",BMJ Group,"Journal of Neurology, Neurosurgery and Psychiatry",
The Journal of Nurse Practitioners,Elsevier,Journal for Nurse Practitioners,
Journal of Nursing Management,Wiley-Blackwell,Journal of Nursing Management,
Journal of nursing scholarship,Wiley-Blackwell,Journal of Nursing Scholarship,
Journal of Nutrigenetics and Nutrigenomics,Karger,Journal of Nutrigenetics and Nutrigenomics,
Journal of Nutrition,American Society for Nutrition,Journal of Nutrition,
The journal of nutrition,American Society for Nutrition,Journal of Nutrition,
"Journal of obstetric, gynecologic and neonatal nursing",Wiley-Blackwell,"Journal of obstetric, gynecologic and neonatal nursing",
Journal of occupational and environmental medicine,Lippincott Williams and Wilkins,Journal of occupational and environmental medicine,
Journal of Occupational Health,Japan Society of Occupational Health,Journal of Occupational Health,
Journal of Occupational Rehabilitation,Springer,Journal of Occupational Rehabilitation,
Journal of of Healthcare Information Management,Healthcare Information and Managements Systems Society,Journal of Healthcare Information Management,
Journal of Oral and Maxillofacial Surgery,Elsevier,Journal of Oral and Maxillofacial Surgery,
Journal of Oral Rehabilitation,Wiley-Blackwell,Journal of Oral Rehabilitation,
Journal of Orofacial Pain,"Quintessence Publishing Co, Inc",Journal of Orofacial Pain,
Journal of Orthodontics,Oxford University Press,Journal of Orthodontics,
Journal of orthopaedic and sports physical therapy,American Physical Therapy Association,Journal of Orthopaedic & Sports Physical Therapy,
The Journal of Orthopaedic and Sports Physical Therapy,American Physical Therapy Association,Journal of Orthopaedic & Sports Physical Therapy,
"Journal of Otolaryngology Head and Neck Surgery, Decker",Decker Publishing Inc,Journal of Otolaryngology - Head and Neck Surgery,
"Journal of Otolaryngology, BC Decker",Decker Publishing Inc,Journal of Otolaryngology,
Journal of Paediatrics and Child Health,Wiley-Blackwell,Journal of Paediatrics and Child Health,
Journal of Pain,Elsevier,Journal of Pain,
The journal of pain: official journal of the American Pain Society,Elsevier,Journal of Pain,
Journal of Pain and Symptom Management,Elsevier,Journal of Pain and Symptom Management,
Journal of Palliative Care,"Clinical Research Institute of Montreal, Center for Bioethics",Journal of Palliative Care,
Journal of Palliative Medicine,"Mary Ann Liebert, Inc",Journal of Palliative Medicine,
Journal of Patient Safety,Lippincott Williams and Wilkins,Journal of Patient Safety,
Journal of Pediatric Nursing,Elsevier,Journal of Pediatric Nursing,
Journal of pediatric psychology,Oxford University Press,Journal of pediatric psychology,
"Journal of Pediatric Surgery, Elsevier",Elsevier,Journal of Pediatric Surgery,
Journal of Perinatology,Nature Publishing Group,Journal of Perinatology,
Journal of Periodontal Research,Wiley-Blackwell,Journal of Periodontal Research,
Journal of Periodontology,Wiley-Blackwell,Journal of Periodontology,
Journal of physical activity & health,"Human Kinetics Publishers, Inc",Journal of physical activity and health,
"Journal of Plastic, Reconstructive and Aesthetic Surgery",Elsevier,"Journal of Plastic, Reconstructive and Aesthetic Surgery",
Journal of Policy and Practice in Intellectual Disabilities,Wiley-Blackwell,Journal of Policy and Practice in Intellectual Disabilities,
Journal of Positive Behaviour Interventions,Sage Publications,Journal of Positive Behavior Interventions,
Journal of Postgraduate Medicine,Medknow Publications,Journal of Postgraduate Medicine,
Journal of Prosthetic Dentistry,Elsevier,Journal of Prosthetic Dentistry,
Journal of psychiatric and mental health nursing,Wiley-Blackwell,Journal of psychiatric and mental health nursing,
Journal of psychoactive drugs,Haight Ashbury Publications,Journal of psychoactive drugs,
Journal of psychopharmacology,Sage Publications,Journal of Psychopharmacology,
Journal of psychosocial nursing and mental health services,Slack Inc,Journal of psychosocial nursing & mental health services,
Journal of Public Deliberation,Berkeley Electronic Press,Journal of Public Deliberation,
Journal of Public Health,Oxford University Press,Journal of Public Health,
Journal of Public Health Dentistry,American Association of Public Health Dentistry,Journal of Public Health Dentistry,
"Journal of Public Health Dentistry, American Association of Public Health Dentistry",American Association of Public Health Dentistry,Journal of Public Health Dentistry,
Journal of Public Health Management & Practice,Lippincott Williams and Wilkins,Journal of Public Health Management and Practice,
Journal of Public Health Medicine,Oxford University Press,Journal of Public Health Medicine,
Journal of public mental health,Pier Professional,Journal of Public Mental Health,
Journal of Rehabilitation Medicine,Foundation for Rehabilitation Medicine,Journal of Rehabilitation Medicine,
Journal of Rehabilitation Research and Development,Department of Veterans' Affairs,Journal of Rehabilitation Research and Development,
Journal of Reproductive Health and Infant Psychology,Taylor and Francis Group,Journal of Reproductive and Infant Psychology,
Journal of Rheumatology,Journal of Rheumatology Publishing Company,Journal of Rheumatology,
The Journal of Rheumatology,Journal of Rheumatology Publishing Company,Journal of Rheumatology,
Journal of Rural and Community Development,"Rural Development Institute, Brandon University",Journal of Rural and Community Development,
Journal of School Health,Wiley-Blackwell,Journal of School Health,
The journal of school nursing : the official publication of the National Association of School Nurses,Sage Publications,Journal of School Nursing : official publication of National Association of School Nurses,
Journal of Science and Medicine in Sport,Elsevier,Journal of Science and Medicine in Sport,
Journal of Science and Medicine in Sport/Sports Medicine Australia,Elsevier,Journal of Science and Medicine in Sport,
Journal of Sexual Medicine,Wiley-Blackwell,Journal of Sexual Medicine,
Journal of Shoulder and Elbow Surgery,Elsevier,Journal of Shoulder and Elbow Surgery,
Journal of Social Work in Disability & Rehabilitation,Haworth Press Inc,Journal of Social Work in Disability & Rehabilitation,
"Journal of Speech Language and Hearing Research, American Speech-Language-Hearing Association",American Speech-Language-Hearing Association,Journal of Speech Language and Hearing Research,
Journal of Steroid Biochemistry and Molecular Biology,Elsevier,Journal of Steroid Biochemistry and Molecular Biology,
Journal of Storytelling and Business Excellence,,Journal of Storytelling and Business Excellence,1
Journal of Strategic Information Systems,Elsevier,Journal of Strategic Information Systems,
Journal of studies on alcohol and drugs,"Alcohol Research Documentation, Inc",Journal of studies on alcohol and drugs,
Journal of substance abuse treatment,Elsevier,Journal of substance abuse treatment,
Journal of Supportive Oncology,Elsevier,Journal of Supportive Oncology,
Journal of the Acoustic Society of America,American Institute of Physics,Journal of the Acoustical Society of America,
Journal of the American Academy of Audiology,American Academy of Audiology,Journal of the American Academy of Audiology,
Journal of the American Academy of Child and Adolescent Psychiatry,Elsevier,Journal of the American Academy of Child & Adolescent Psychiatry,
Journal of the American Academy of Dermatology,Elsevier,Journal of the American Academy of Dermatology,
Journal of the american academy of nurse practitioners,Wiley-Blackwell,Journal of the American Academy of Nurse Practitioners,
The Journal of the American Academy of Orthopaedic Surgeons,American Academy of Orthopaedic Surgeons,Journal of the American Academy of Orthopaedic Surgeons,
Journal of the American Board of Family Medicine,American Board of Family Medicine,Journal of the American Board of Family Medicine,
Journal of the American College of Cardiology,Elsevier,Journal of the American College of Cardiology,
"Journal Of The American College of Cardiology, American College of Cardiology Foundation and the American Heart Association",Elsevier,Journal Of The American College of Cardiology,
Journal of the American Dental Association,American Dental Association Publishing,Journal of the American Dental Association,
Journal of the American Geriatrics Society,Wiley-Blackwell,Journal of the American Geriatrics Society,
Journal of the American Medical Directors Association,Elsevier,Journal of the American Medical Directors Association,
Journal of the American Medical Informatics Association,Elsevier,Journal of the American Medical Informatics Association,
Journal of the American Medical Women's Association,,Journal of the American Medical Women's Association,1
Journal of the American Society of Nephrology,Lippincott Williams and Wilkins,Journal of the American Society of Nephrology,
The Journal of the Association of Nurses in AIDS care: JANAC,Elsevier,Journal of the Association of Nurses in AIDS care: JANAC,
Journal of the Canadian Academy of Child and Adolescent Psychiatry,Canadian Academy of Child and Adolescent Psychiatry,Journal of the Canadian Academy of Child and Adolescent Psychiatry,
Journal of the Canadian Chiropractic Association,Canadian Chiropractic Association (CCA),Journal of the Canadian Chiropractic Association,
Journal of the Canadian Dental Association,Canadian Dental Association,Journal of the Canadian Dental Association,
Journal of the Chinese Medical Association,Elsevier,Journal of the Chinese Medical Association,
The journal of the contemporary dental practice,Seer Publishing,Journal of Contemporary Dental Practice,
Journal of the European Academy of Dermatology and Venereology,Wiley-Blackwell,Journal of the European Academy of Dermatology and Venereology,
Journal of the Medical Association of Thailand,Medical Association of Thailand,Journal of the Medical Association of Thailand,
Journal of the National Cancer Institute,Oxford University Press,Journal of the National Cancer Institute,
Journal of the National Medical Association,National Medical Association,Journal of the National Medical Association,
Journal of the neurological sciences,Elsevier,Journal of the Neurological Sciences,
Journal of the Royal College of General Practitioners,,Journal of the Royal College of General Practitioners,1
Journal of the Royal College of Physicians of London,Royal College of Physicians (RCP),Journal of the Royal College of Physicians of London,
Journal of the Royal Society of Medicine,Royal Society of Medicine Press,Journal of the Royal Society of Medicine,
Journal of the Royal Statistical Society,Wiley-Blackwell,Journal of the Royal Statistical Society,
Journal of the Southern Orthopaedic,Southern Orthopaedic Association,Journal of the Southern Orthopaedic Association,
Journal of Thrombosis and Haemostasis,Wiley-Blackwell,Journal of Thrombosis and Haemostasis,
Journal of Universal Computer Science,Springer,Journal of Universal Computer Science,
Journal of Universal Knowledge Management,Springer,Journal of Universal Knowledge Management,
Journal of Urban Health,Oxford University Press,Journal of Urban Health,
Journal of Urology,Lippincott Williams and Wilkins,Journal of Urology,
Journal of Viral Hepatitis,Wiley-Blackwell,Journal of Viral Hepatitis,
Journal of Visual Impairment & Blindness,American Foundation for the Blind,Journal of Visual Impairment & Blindness,
Journal of Voice,Elsevier,Journal of Voice,
Journal of Women's Health,"Mary Ann Liebert, Inc",Journal of Women's Health,
Journals of Gerontology Series A: Biological Sciences and Medical Sciences,Gerontological Society of America,Journals of Gerontology Series A: Biological Sciences and Medical Sciences,
Judith Calder,Degos Disease Support Network,,
Julio Alejandro Murra-Saca M.D,,,1
Juvenile Diabetes Research Foundation (JDRF),Juvenile Diabetes Research Foundation (JDRF),,
K/DOQI,National Kidney Foundation,Kidney Disease Outcomes Quality Initiative (NKF KDOQI),
K12 Academics,K12 Academics,,
Kansas University Medical Center,Kansas University Medical Center,,
Karger,Karger,,
Karolinska Institutet,Karolinska Institutet,,
Kavanagh KT,Kavanagh KT,,
KE Sveiby,KE Sveiby,,
Keele University,Keele University,,
Kidney Disease: Improving Global Outcomes (KDIGO),Kidney Disease: Improving Global Outcomes (KDIGO),,
Kidney International,Nature Publishing Group,Kidney International,
Kidney Patient Guide,Kidney Patient Guide,,
Kidney Research Uk,Kidney Research Uk,,
King Baudouin Foundation ; Flemish Institute for Science and Technology Assessment,,,1
King's College London,King's College London,,
King's Fund,King's Fund,,
King's Fund and NHS Alliance,King's Fund,,
Klinefelter Organisation,Klinefelter Organisation,,
Klinefelter Syndrome and Associates (US),Klinefelter Syndrome and Associates (US),,
Klinefelter's Syndrome Association,Klinefelter's Syndrome Association,,
Klinische Paediatrie,Thieme,Klinische Paediatrie,
Kluwer Academic Publishers,Kluwer Academic Publishers,,
KM Column,KM Column,,
KM Talk,KM Talk,,
KM4D Journal,Taylor and Francis Group,Knowledge Management for Development Journal,
"Knee surgery, sports traumatology, arthroscopy",Springer,"Knee Surgery, Sports Traumatology, Arthroscopy",
"Knova Software, Inc.","Knova Software, Inc.",,
Knowledge Management in Asia Pacific,Knowledge Management in Asia Pacific,,
Knowledge Management Research and Practice,Palgrave Publishers Ltd,Knowledge Management Research and Practice,
"Knowledge Research Institute, Inc.","Knowledge Research Institute, Inc.",,
KnowledgeBoard,KnowledgeBoard,,
Korean Society for Preventive Medicine,Korean Society for Preventive Medicine,,
KPMG,KPMG,,
La Tunisie medicale,Ordre des medecins de Tunisie,La Tunisie medicale,
Lab Tests Online UK,Lab Tests Online UK,,
Lambeth Primary Care Trust,Lambeth Primary Care Trust,,
Lancaster University Management School,Lancaster University Management School,,
Lancet Infectious Diseases,Lancet Publishing Group,The Lancet Infectious Diseases,
Lancet Oncology,Lancet Publishing Group,The Lancet Oncology,
Lancet Publishing Group,Lancet Publishing Group,,
"Language, Speech, and Hearing Services in Schools","Language, Speech, and Hearing Services in Schools",,
Laryngo-Rhino-Otologie,Thieme,Laryngo-Rhino-Otologie,
"Laryngoscope, Lippincott Williams and Wilkins",Lippincott Williams and Wilkins,Laryngoscope,
Launchpad,Launchpad,,
"Laval University, Quebec","Laval University, Quebec",,
Lawrence Erlbaum Associates,Lawrence Erlbaum Associates,,
Leadership Trust,Leadership Trust,,
Lean Enterprise Academy,Lean Enterprise Academy,,
Lean Enterprise Institute,Lean Enterprise Institute,,
Lean Enterprise Research Centre,Lean Enterprise Research Centre,,
"Learning and Development, Public Health Resource Unit, Oxford.",Solutions for Public Health,,
Learning and Skills Council,Learning and Skills Council,,
The Learning Disability Coalition,Learning Disability Coalition,,
Learning Disability Practice,RCN Publishing,Learning Disability Practice,
Learning Disability Task Force,Learning Disability Task Force,,
Learning Disability Task Force & Mencap,Learning Disability Task Force,,
Learning Disability Wales,Learning Disability Wales,,
The Learning Organization,Learning Organization,,
Leeds Institute of Health Sciences,Leeds Institute of Health Sciences,,
Leeds University,Leeds University,,
Leg Ulcer Forum,Leg Ulcer Forum,,
Leicester City Health Action Zone,Leicester City Health Action Zone,,
Leicester Royal Infirmary,Leicester Royal Infirmary,,
LEMPIG,LEMPIG,,
Leonard Cheshire Disability,Leonard Cheshire Disability,,
Leukaemia Research Fund,Leukaemia Research Fund,,
Leukaemia Research Fund/Cancer Research Uk,Leukaemia Research Fund,,
"Levin T, et al",,,1
Liberal Democrats,Liberal Democrats,,
Libra Publishers Inc.,Libra Publishers Inc.,Adolescence,
LibraPharm,Informa Healthcare,,
Lighthouse International (US),Lighthouse International (US),,
Lippincott Williams & Wilkins,Lippincott Williams and Wilkins,,
Liver Transplantation,Wiley-Blackwell,Liver Transplantation,
Liverpool care pathway (LCP),Liverpool care pathway (LCP),,
Liverpool John Moores University,Liverpool John Moores University,,
Liverpool Public Health Observatory,Liverpool Public Health Observatory,,
Living Life to the Full,Living Life to the Full,,
Local Commissioning and Procurement Unit,Local Commissioning and Procurement Unit,,
Local Government Association,Local Government Association,,
Local Government Information Unit (LGIU),Local Government Information Unit (LGIU),,
Local Government Ombudsman,Local Government Ombudsman,,
London Borough of Camden,London Borough of Camden,,
London Borough of Waltham Forest,London Borough of Waltham Forest,,
London Councils,London Councils,,
London Drug and Alcohol Network,London Drug and Alcohol Network,,
London Drug Policy Forum,London Drug Policy Forum,,
London Health Authority,London Health Authority,,
London Health Link,London Health Link,,
London Health Observatory,London Health Observatory,,
London New Drugs Group,London New Drugs Group,,
London Older People's Service Development Programme,London Older People's Service Development Programme,,
London Patient Choice Project (LPCP),London Patient Choice Project (LPCP),,
London Quality Observatory,London Quality Observatory,,
London School of Economics (LSE),London School of Economics and Political Science,,
The London School of Economics and Political Science,London School of Economics and Political Science,,
London School of Hygiene and Tropical Medicine,London School of Hygiene and Tropical Medicine,,
London Scrutiny Network,London Scrutiny Network,,
London South Bank University,London South Bank University,,
London Specialised Commissioning,London Specialised Commissioning,,
London Strategic Health Authority,London Strategic Health Authority,,
Long Term Medical Conditions Alliance (LMCA),Long Term Medical Conditions Alliance (LMCA),,
Look Up,Look Up,,
Looked After Children Taskforce,Looked After Children Taskforce,,
Loughborough University,Loughborough University,,
"Loyola University, Chicago","Loyola University, Chicago",,
Loyola University Medical Education Network,Loyola University Medical Education Network,,
Lund Institute of Economic Research Working Paper Series,Lund Institute of Economic Research Working Paper Series,,
Lupus UK,Lupus UK,,
Lymphoedema Support Network (LSN),Lymphoedema Support Network (LSN),,
Lymphoma Association,Lymphoma Association,,
MA Healthcare Limited,MA Healthcare ,,
Mac Keith Press,Mac Keith Press,,
Macmillan Cancer Relief,Macmillan Cancer Support,,
Macmillan Cancer Support,Macmillan Cancer Support,,
Madisons Foundation,Madisons Foundation,,
Maine Policy Review,"Margaret Chase Smith Policy Center, University of Maine",Maine Policy Review,
Making Connections Denver,Making Connections Denver,,
Making Sense of Health.,Making Sense of Health,,
Making Space,Making Space,,
Mal de Debarquement Syndrome Support Group,Mal de Debarquement Syndrome Support Group,,
MalariaNoMore,MalariaNoMore,,
Malignant Hyperthermia Association of the United States (MHAUS),Malignant Hyperthermia Association of the United States (MHAUS),,
Managed Care,Managed Care,,
Management Consultancies Association,Management Consultancies Association,,
Management Science,INFORMS,Management Science,
Managers in Partnership,Managers in Partnership,,
Manchester City Council,Manchester City Council,,
Manchester Learning Disability Partnership,Manchester Learning Disability Partnership,,
Manchester Mental Health and Social Care Trust,Manchester Mental Health and Social Care Trust,,
Manchester Royal Infirmary,Manchester Royal Infirmary,,
Maney,Maney Publishing,,
Manoj Jain,Manoj Jain,,
Manual Therapy,Elsevier,Manual Therapy,
Map of Medicine,Map of Medicine,,
MAPI Research Institute,MAPI Research Institute,,
"Mapi Research Trust, Lyon, France",Mapi Research Trust,,
March of Dimes Foundation (US),March of Dimes Foundation (US),,
Marfan Association UK,Marfan Association UK,,
Marie Curie Palliative Care Institute Liverpool,Marie Curie Palliative Care Institute Liverpool,,
Marshfield Clinic,Marshfield Clinic,,
Mary Ann Liebert Inc,"Mary Ann Liebert, Inc",,
Massachusetts Eye and Ear Infirmary,Massachusetts Eye and Ear Infirmary,,
Massachusetts Medical Society,Massachusetts Medical Society,,
Maternal and Child Nutrition,Wiley-Blackwell,Maternal and Child Nutrition,
Matrix Research and Consultancy,Matrix Research and Consultancy,,
Mayo Clinic College of Medicine,Mayo Clinic ,,
Mayo Clinic proceedings,Mayo Clinic  ,Mayo Clinic Proceedings,
Mayo Foundation for Medical Education and Research,Mayo Foundation for Medical Education and Research,,
MCB UP Ltd,MCB UP Ltd,,
McDermott Consulting,McDermott Consulting,,
McGraw Hill Education,McGraw Hill,,
McGraw Hill Publishing,McGraw Hill ,,
McKesson,McKesson,,
McKinsey and Company,McKinsey and Company,,
McMaster University,McMaster University,,
McMillam-Scott Plc,McMillam-Scott Plc,,
MDF The BiPolar Organisation (England),MDF The BiPolar Organisation (England),,
MDLinx,MDLinx,,1
Medecins du Monde UK,Medecins du Monde UK,,
Medendium Group Publishing Ltd,Medendium Group Publishing Ltd,,
"Medical Advisory Secretariat (MAS), Ontario Ministry of Health and Long-term Care","Medical Advisory Secretariat (MAS), Ontario Ministry of Health and Long-term Care",,
Medical Architecture Research Unit,Medical Architecture Research Unit,,
Medical College of Georgia,Medical College of Georgia,,
Medical Decision Making,Sage Publications,Medical Decision Making,
"Medical Economics and Research Centre, Sheffield","Medical Economics and Research Centre, Sheffield",,
Medical Education England,Medical Education England,,
Medical Foundation for AIDS and Sexual Health (MedFASH),Medical Foundation for AIDS and Sexual Health (MedFASH),,
Medical Foundation for the care of victims of torture,Medical Foundation for the care of victims of torture,,
"Medical Informatics, Freiburg University","Medical Informatics, Freiburg University",,
Medical Information Sytems Ltd,Medical Information Sytems Ltd,,
Medical Journal of Australia,Australian Medical Association,Medical Journal of Australia,
The Medical Journal of Australia,Australian Medical Association,Medical Journal of Australia,
Medical News Today,,,1
Medical Principles and practice,Karger,Medical Principles and Practice,
Medical Research Council,Medical Research Council,,
The Medical Research Council,Medical Research Council,,
Medical Research Council/Kidney Research UK,Medical Research Council,,
Medical Science International,Medical Science International,Medical Science Monitor: international medical journal of experimental and clinical research,
Medical Science Monitor: international medical journal of experimental and clinical research,Medical Science International,Medical Science Monitor: international medical journal of experimental and clinical research,
Medical Screening Society,Medical Screening Society,,
"Medical Services Advisory Committee, Australian Government","Medical Services Advisory Committee, Australian Government",,
Medical Technology Group,Medical Technology Group,,
Medicina Clinica,Elsevier,Medicina Clinica,
Medicine and Sport Science,Karger,Medicine and Sport Science,
Medicines and Healthcare products Regulatory Agency (MHRA),Medicines and Healthcare Products Regulatory Agency (MHRA),,
Medicines for Children,Medicines for Children,,
Medipex,Medipex,,
Medi-Smart Nursing Education Resources,Medi-Smart Nursing Education Resources,,
Medispecialty.com,Medispecialty.com,,
Meditute.org,Meditute.org,,
MedlinePlus Medical Encylopedia,MedlinePlus Medical Encylopedia,,
Medscape,Medscape,,
Medscape journal of medicine,WebMD,Medscape journal of medicine,
Memorial Sloan-Kettering Cancer Center,Memorial Sloan-Kettering Cancer Center,,
Mencap,Mencap,,
Meniere's Society,Meniere's Society,,
Meningitis Research Foundation,Meningitis Research Foundation,,
Menopause,Lippincott Williams and Wilkins,Menopause,
Men's Health Forum,Men's Health Forum,,
Mental Capacity Implementation Programme,Mental Capacity Implementation Programme,,
Mental Health Act Commission,Mental Health Act Commission,,
Mental Health Alliance,Mental Health Alliance,,
Mental Health and Well-Being in Later Life Inquiry,Mental Health and Well-Being in Later Life Inquiry,,
Mental Health Aspects of Developmental Disabilities,"Psych-Media, Inc",Mental Health Aspects of Developmental Disabilities,
Mental Health Educators Network in England (mhhe),Mental Health Educators Network in England (mhhe),,
Mental Health Equalities,Mental Health Equalities,,
Mental Health Foundation,Mental Health Foundation,,
The Mental Health Foundation,Mental Health Foundation,,
Mental Health in Higher Education,Mental Health in Higher Education,,
Mental Health Media,Mental Health Media,,
Mental Health Observatory,Mental Health Observatory,,
Mental Health Strategies,Mental Health Strategies,,
Mental Health Today ,Pavilion,Mental Health Today ,
"Mental Health, Religion and Culture",Carfax Publishing,"Mental Health, Religion & Culture",
